NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-26T21:51:00+00:00,2026-07-26T22:03:00+00:00,75.79841,75.948738,1000.0,1.9833,,stop,12
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-26T22:06:00+00:00,2026-07-26T22:45:00+00:00,76.19893,76.566694,1000.0,4.8264,,stop,39
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-26T22:41:00+00:00,2026-07-27T00:18:00+00:00,76.869801,76.400351,1000.0,-6.1071,,stop,97
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-27T02:41:00+00:00,2026-07-27T02:50:00+00:00,76.749645,76.375941,1000.0,-4.8691,,stop,9
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-27T06:06:00+00:00,2026-07-27T07:30:00+00:00,76.819736,76.467342,1000.0,-4.5873,,stop,84
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-27T09:51:00+00:00,2026-07-27T09:54:00+00:00,76.659528,76.364411,1000.0,-3.8497,,stop,3
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-27T10:26:00+00:00,2026-07-27T11:03:00+00:00,76.679554,76.404385,1000.0,-3.5886,,stop,37
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-27T12:06:00+00:00,2026-07-27T12:13:00+00:00,76.809723,76.50585,1000.0,-3.9562,,stop,7
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-27T12:46:00+00:00,2026-07-27T13:14:00+00:00,76.959918,76.558833,1000.0,-5.2116,,stop,28
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-27T13:46:00+00:00,2026-07-27T13:53:00+00:00,77.50062,76.946174,1000.0,-7.1541,,stop,7
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-27T16:31:00+00:00,2026-07-27T18:16:00+00:00,75.938592,75.487473,1000.0,-5.9406,,stop,105
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-27T16:51:00+00:00,2026-07-27T18:15:00+00:00,75.988657,75.578848,1000.0,-5.393,,stop,84
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-28T05:21:00+00:00,2026-07-28T05:35:00+00:00,73.565511,73.244455,1000.0,-4.3642,,stop,14
