symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,driver
ETHUSDT,F_192_ext_entry,2026-08-17T04:00:00+00:00,2026-08-17T08:00:00+00:00,1903.401209,1909.480958,20.0,0.0639,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2026-08-22T00:00:00+00:00,2026-08-22T04:00:00+00:00,2519.581203,2527.629123,20.0,0.0639,,stop,1,F_192_ext_entry
ETHUSDT,F_165_score_entry,2025-05-08T20:00:00+00:00,2025-05-09T00:00:00+00:00,2120.583179,2221.327715,20.0,0.9502,,stop,1,F_165_score_entry
ETHUSDT,F_165_score_entry,2025-05-09T08:00:00+00:00,2025-05-09T12:00:00+00:00,2367.163317,2485.541973,20.0,1.0002,,stop,1,F_165_score_entry
ETHUSDT,F_165_score_entry,2025-05-13T20:00:00+00:00,2025-05-14T00:00:00+00:00,2694.428209,2703.034617,20.0,0.0639,,stop,1,F_165_score_entry
ETHUSDT,F_165_score_entry,2025-05-23T04:00:00+00:00,2025-05-23T08:00:00+00:00,2725.5386,2577.660422,20.0,-1.0851,,stop,1,F_165_score_entry
ETHUSDT,F_165_score_entry,2025-05-29T04:00:00+00:00,2025-05-29T12:00:00+00:00,2766.09125,2645.877132,20.0,-0.8692,,stop,2,F_165_score_entry
ETHUSDT,F_165_score_entry,2025-06-04T16:00:00+00:00,2025-06-05T12:00:00+00:00,2671.388296,2569.684786,20.0,-0.7614,,stop,5,F_165_score_entry
ETHUSDT,F_165_score_entry,2025-06-09T20:00:00+00:00,2025-06-10T00:00:00+00:00,2583.934754,2688.335423,20.0,0.8081,,stop,1,F_165_score_entry
ETHUSDT,F_165_score_entry,2025-06-10T12:00:00+00:00,2025-06-10T20:00:00+00:00,2777.245732,2800.110318,20.0,0.1647,,stop,2,F_165_score_entry
ETHUSDT,F_165_score_entry,2025-06-11T16:00:00+00:00,2025-06-12T08:00:00+00:00,2868.92476,2722.592212,20.0,-1.0201,,stop,4,F_165_score_entry
ETHUSDT,F_165_score_entry,2025-07-16T00:00:00+00:00,2025-07-16T04:00:00+00:00,3141.97927,3152.015223,20.0,0.0639,,stop,1,F_165_score_entry
